Venue,Bat First,Bat Second,Winner
Sheikh Zayed Stadium,Oman,United Arab Emirates,United Arab Emirates
Sheikh Zayed Stadium,Hong Kong,Oman,Oman
Sheikh Zayed Stadium,Oman,Hong Kong,Oman
Sheikh Zayed Stadium,Oman,Hong Kong,Hong Kong
Sheikh Zayed Stadium,Afghanistan,Oman,Afghanistan
Shere Bangla National Stadium,Zimbabwe,Bangladesh,Bangladesh
Shere Bangla National Stadium,Bangladesh,Zimbabwe,Zimbabwe
SuperSport Park,South Africa,Sri Lanka,South Africa
New Wanderers Stadium,South Africa,Sri Lanka,Sri Lanka
Newlands,South Africa,Sri Lanka,Sri Lanka
Vidarbha Cricket Association Stadium,Zimbabwe,Hong Kong,Zimbabwe
Vidarbha Cricket Association Stadium,Afghanistan,Scotland,Afghanistan
Himachal Pradesh Cricket Association Stadium,Bangladesh,Netherlands,Bangladesh
Himachal Pradesh Cricket Association Stadium,Ireland,Oman,Oman
Vidarbha Cricket Association Stadium,Zimbabwe,Scotland,Zimbabwe
Vidarbha Cricket Association Stadium,Hong Kong,Afghanistan,Afghanistan
Vidarbha Cricket Association Stadium,Afghanistan,Zimbabwe,Afghanistan
Vidarbha Cricket Association Stadium,Hong Kong,Scotland,Scotland
Himachal Pradesh Cricket Association Stadium,Netherlands,Ireland,Netherlands
Himachal Pradesh Cricket Association Stadium,Bangladesh,Oman,Bangladesh
Vidarbha Cricket Association Stadium,New Zealand,India,New Zealand
Wankhede Stadium,England,West Indies,West Indies
Eden Gardens,Pakistan,Bangladesh,Pakistan
Eden Gardens,Afghanistan,Sri Lanka,Sri Lanka
Himachal Pradesh Cricket Association Stadium,New Zealand,Australia,New Zealand
Wankhede Stadium,South Africa,England,England
Eden Gardens,Pakistan,India,India
Wankhede Stadium,South Africa,Afghanistan,South Africa
M Chinnaswamy Stadium,Sri Lanka,West Indies,West Indies
M Chinnaswamy Stadium,Bangladesh,Australia,Australia
Punjab Cricket Association IS Bindra Stadium,New Zealand,Pakistan,New Zealand
Feroz Shah Kotla,England,Afghanistan,England
M Chinnaswamy Stadium,India,Bangladesh,India
Punjab Cricket Association IS Bindra Stadium,Australia,Pakistan,Australia
Vidarbha Cricket Association Stadium,South Africa,West Indies,West Indies
Eden Gardens,New Zealand,Bangladesh,New Zealand
Feroz Shah Kotla,England,Sri Lanka,England
Punjab Cricket Association IS Bindra Stadium,Australia,India,India
Vidarbha Cricket Association Stadium,Afghanistan,West Indies,Afghanistan
Feroz Shah Kotla,Sri Lanka,South Africa,South Africa
Feroz Shah Kotla,New Zealand,England,England
Wankhede Stadium,India,West Indies,West Indies
Eden Gardens,England,West Indies,West Indies
Mission Road Ground,Scotland,Hong Kong,Hong Kong
Mission Road Ground,Scotland,Hong Kong,Scotland
Sharjah Cricket Stadium,Afghanistan,Zimbabwe,Afghanistan
Sharjah Cricket Stadium,Afghanistan,Zimbabwe,Afghanistan
Tony Ireland Stadium,Ireland,Papua New Guinea,Ireland
Tony Ireland Stadium,Papua New Guinea,Ireland,Papua New Guinea
Sheikh Zayed Stadium,Ireland,United Arab Emirates,Ireland
Sheikh Zayed Stadium,United Arab Emirates,Ireland,United Arab Emirates
